,index,number,link,title,img
10,Dr. Andy Galpin: Maximize Recovery to Achieve Fitness & Performance Goals | Huberman Lab,11.0,https://www.youtube.com/watch?v=juD99_sPWGU&list=UU2D2CMWXMOVWx7giW1n3LIg&index=11&pp=iAQB,Dr. Andy Galpin: Maximize Recovery to Achieve Fitness & Performance Goals | Huberman Lab,https://i.ytimg.com/vi/juD99_sPWGU/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAAa5joPawv9VhMWPrCKc-R_hMDwQ
11,"Dr. Gina Poe: Use Sleep to Enhance Learning, Memory & Emotional State | Huberman Lab Podcast",12.0,https://www.youtube.com/watch?v=BMTt8gSl13s&list=UU2D2CMWXMOVWx7giW1n3LIg&index=12&pp=iAQB,"Dr. Gina Poe: Use Sleep to Enhance Learning, Memory & Emotional State | Huberman Lab Podcast",https://i.ytimg.com/vi/BMTt8gSl13s/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBDTC9akgdVuiwdDqMRk3BIuXrGkQ
12,Dr. Andy Galpin: Optimize Your Training Program for Fitness & Longevity | Huberman Lab Guest Series,13.0,https://www.youtube.com/watch?v=UIy-WQCZd4M&list=UU2D2CMWXMOVWx7giW1n3LIg&index=13&pp=iAQB,Dr. Andy Galpin: Optimize Your Training Program for Fitness & Longevity | Huberman Lab Guest Series,https://i.ytimg.com/vi/UIy-WQCZd4M/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC7iHQQxTGOESM0ahYsapyszkjdSg
13,How to Stop Headaches Using Science-Based Approaches | Huberman Lab Podcast,14.0,https://www.youtube.com/watch?v=CGjdgy0cwGk&list=UU2D2CMWXMOVWx7giW1n3LIg&index=14&pp=iAQB,How to Stop Headaches Using Science-Based Approaches | Huberman Lab Podcast,https://i.ytimg.com/vi/CGjdgy0cwGk/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDSp8gPattB4XWuIAVQcu_QuCK1tg
14,Dr. Andy Galpin: How to Build Physical Endurance & Lose Fat | Huberman Lab Guest Series,15.0,https://www.youtube.com/watch?v=oNkDA2F7CjM&list=UU2D2CMWXMOVWx7giW1n3LIg&index=15&pp=iAQB,Dr. Andy Galpin: How to Build Physical Endurance & Lose Fat | Huberman Lab Guest Series,https://i.ytimg.com/vi/oNkDA2F7CjM/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDNLox3XrJd3efEzJNtBF1UXJWU_w
15,Dr. Sara Gottfried: How to Optimize Female Hormone Health for Vitality & Longevity | Huberman Lab,16.0,https://www.youtube.com/watch?v=GVRDGQhoEYQ&list=UU2D2CMWXMOVWx7giW1n3LIg&index=16&pp=iAQB,Dr. Sara Gottfried: How to Optimize Female Hormone Health for Vitality & Longevity | Huberman Lab,https://i.ytimg.com/vi/GVRDGQhoEYQ/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLA0l_EKSR1rUmO_u7XRTAJ9EtzyLw
16,Dr. Andy Galpin: Optimal Protocols to Build Strength & Grow Muscles | Huberman Lab Guest Series,17.0,https://www.youtube.com/watch?v=CyDLbrZK75U&list=UU2D2CMWXMOVWx7giW1n3LIg&index=17&pp=iAQB,Dr. Andy Galpin: Optimal Protocols to Build Strength & Grow Muscles | Huberman Lab Guest Series,https://i.ytimg.com/vi/CyDLbrZK75U/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDNAkdADe61fr4pKllFPgsMqW03yQ
17,How to Optimize Fertility in Males & Females | Huberman Lab Podcast,18.0,https://www.youtube.com/watch?v=O1YRwWmue4Y&list=UU2D2CMWXMOVWx7giW1n3LIg&index=18&pp=iAQB,How to Optimize Fertility in Males & Females | Huberman Lab Podcast,https://i.ytimg.com/vi/O1YRwWmue4Y/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCQocO934_fyrV7rzbFcp6RmJMyKA
18,Dr. Andy Galpin: How to Assess & Improve All Aspects of Your Fitness | Huberman Lab Guest Series,19.0,https://www.youtube.com/watch?v=zEYE-vcVKy8&list=UU2D2CMWXMOVWx7giW1n3LIg&index=19&pp=iAQB,Dr. Andy Galpin: How to Assess & Improve All Aspects of Your Fitness | Huberman Lab Guest Series,https://i.ytimg.com/vi/zEYE-vcVKy8/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAkp1UsCeLMgdb9tkJE12BFm151gQ
19,Rick Rubin: How to Access Your Creativity | Huberman Lab Podcast,20.0,https://www.youtube.com/watch?v=ycOBZZeVeAc&list=UU2D2CMWXMOVWx7giW1n3LIg&index=20&pp=iAQB,Rick Rubin: How to Access Your Creativity | Huberman Lab Podcast,https://i.ytimg.com/vi/ycOBZZeVeAc/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD_koaA4cP-qCWKpKHZvZ8xgraacQ
20,"AMA #3: Adaptogens, Fasting & Fertility, Bluetooth/EMF Risks, Cognitive Load Limits & More",21.0,https://www.youtube.com/watch?v=uak_dXHh6s4&list=UU2D2CMWXMOVWx7giW1n3LIg&index=21&pp=iAQB,"AMA #3: Adaptogens, Fasting & Fertility, Bluetooth/EMF Risks, Cognitive Load Limits & More",https://i.ytimg.com/vi/uak_dXHh6s4/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBzJN9bTXw1SL7P0n-E89gBMPRLkA
